#S8-6
#Lat: -26.855106587
#Lon: 116.730025307
#HAE: 330.2901
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB08-05,229,473198.0823,7029587.3634,347.1761,-26.855077322,116.730207952,330.3753,-2561307.7238,5085911.7196,-2864048.0294,18.1525,3.2429,0.0852
SB08-06,174,473194.9416,7029586.3218,347.1737,-26.855086665,116.730176316,330.3729,-2561304.7042,5085912.7142,-2864048.9520,15.0083,2.2075,0.0827
SB08-07,140,473193.2088,7029586.7995,347.1648,-26.855082319,116.730158883,330.3640,-2561303.2510,5085913.6807,-2864048.5183,13.2756,2.6891,0.0739
SB08-08,85,473191.4031,7029585.8972,347.1354,-26.855090431,116.730140687,330.3346,-2561301.4415,5085914.1081,-2864049.3070,11.4673,1.7903,0.0445
SB08-09,119,473192.9622,7029584.9501,347.1262,-26.855099012,116.730156361,330.3254,-2561302.6359,5085913.0165,-2864050.1511,13.0250,0.8394,0.0353
SB08-10,98,473191.3326,7029584.1107,347.1525,-26.855106560,116.730139939,330.3517,-2561301.0188,5085913.4340,-2864050.9091,11.3929,0.0031,0.0615
SB09-01,38,473186.6895,7029587.2968,347.1170,-26.855077704,116.730093270,330.3162,-2561297.5116,5085916.7820,-2864048.0405,6.7546,3.2005,0.0261
SB09-02,51,473188.0915,7029586.0744,347.1299,-26.855088767,116.730107356,330.3291,-2561298.5180,5085915.6680,-2864049.1400,8.1546,1.9746,0.0390
SB09-03,72,473189.6089,7029587.0454,347.1480,-26.855080030,116.730122652,330.3472,-2561300.0797,5085915.3893,-2864048.2844,9.6747,2.9428,0.0571
SB09-04,93,473190.5112,7029589.2900,347.1598,-26.855059782,116.730131783,330.3590,-2561301.3509,5085915.8958,-2864046.2881,10.5822,5.1864,0.0689
SB09-05,59,473186.8916,7029589.2152,347.1145,-26.855060387,116.730095345,330.3138,-2561298.0847,5085917.4615,-2864046.3275,6.9609,5.1193,0.0237
SB09-06,80,473187.8861,7029591.3821,347.1423,-26.855040842,116.730105403,330.3415,-2561299.4286,5085917.9078,-2864044.4079,7.9604,7.2850,0.0514
SB09-07,67,473186.1182,7029591.9607,347.1308,-26.855035584,116.730087619,330.3301,-2561297.9638,5085918.9288,-2864043.8830,6.1929,7.8676,0.0400
SB09-08,46,473185.4499,7029590.2757,347.1087,-26.855050785,116.730080856,330.3079,-2561297.0124,5085918.5339,-2864045.3756,5.5208,6.1833,0.0178
SB09-09,25,473185.0385,7029587.9433,347.1067,-26.855071835,116.730076664,330.3060,-2561296.1656,5085917.7786,-2864047.4557,5.1042,3.8508,0.0158
SB09-10,12,473182.6162,7029586.6358,347.0690,-26.855083594,116.730052253,330.2683,-2561293.7188,5085918.3141,-2864048.6011,2.6781,2.5479,-0.0219
SB09-11,17,473184.5819,7029585.6320,347.1064,-26.855092695,116.730072019,330.3056,-2561295.2835,5085917.0534,-2864049.5177,4.6425,1.5394,0.0155
SB10-01,161,473193.9933,7029588.3535,347.1757,-26.855068304,116.730166814,330.3749,-2561304.2749,5085913.9614,-2864047.1378,14.0639,4.2421,0.0848
SB10-02,195,473195.8846,7029587.8931,347.1833,-26.855072497,116.730185841,330.3825,-2561305.8726,5085912.9294,-2864047.5557,15.9550,3.7774,0.0924
SB10-03,250,473198.5005,7029589.7363,347.1471,-26.855055905,116.730212213,330.3464,-2561308.5725,5085912.4635,-2864045.8992,18.5759,5.6159,0.0562
SB10-04,216,473195.8726,7029590.3184,347.1783,-26.855050599,116.730185773,330.3776,-2561306.3576,5085913.9076,-2864045.3887,15.9482,6.2039,0.0875
SB10-05,237,473196.3600,7029593.8515,347.1517,-26.855018709,116.730190755,330.3510,-2561307.5071,5085915.0894,-2864042.2242,16.4433,9.7375,0.0609
SB10-06,182,473194.0910,7029590.6493,347.1831,-26.855047577,116.730167846,330.3823,-2561304.8362,5085914.8478,-2864045.0922,14.1665,6.5387,0.0922
SB10-07,252,473194.3631,7029593.2549,347.1677,-26.855024058,116.730170641,330.3670,-2561305.6077,5085915.7621,-2864042.7601,14.4443,9.1449,0.0769
