#S8-1
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB09-01,473148.3267,7029464.3719,330.1376,-26.856189012,116.729702836,330.1376,-2561237.7621,5085884.4096,-2864157.8196
SB09-02,473148.0166,7029462.5493,330.1376,-26.856205462,116.729699676,330.1376,-2561237.1112,5085883.8155,-2864159.4458
SB09-03,473149.6680,7029461.8034,330.1376,-26.856212229,116.729716283,330.1376,-2561238.4330,5085882.7706,-2864160.1147
SB09-04,473152.0283,7029462.2222,330.1376,-26.856208492,116.729740051,330.1376,-2561240.6269,5085881.8751,-2864159.7454
SB09-05,473150.0192,7029465.2383,330.1376,-26.856181222,116.729719892,330.1376,-2561239.4515,5085883.9955,-2864157.0496
SB09-06,473152.3998,7029465.5880,330.1376,-26.856178111,116.729743863,330.1376,-2561241.6493,5085883.0630,-2864156.7420
SB09-07,473151.9445,7029467.3543,330.1376,-26.856162155,116.729739318,330.1376,-2561241.6051,5085883.9796,-2864155.1647
SB09-08,473150.1655,7029467.0551,330.1376,-26.856164822,116.729721403,330.1376,-2561239.9549,5085884.6611,-2864155.4283
SB09-09,473147.9813,7029466.1627,330.1376,-26.856172837,116.729699398,330.1376,-2561237.8211,5085885.2865,-2864156.2206
SB09-10,473145.5666,7029467.5076,330.1376,-26.856160648,116.729675120,330.1376,-2561235.9405,5085886.9167,-2864155.0157
SB09-11,473145.8023,7029465.3048,330.1376,-26.856180541,116.729677445,330.1376,-2561235.6990,5085885.9234,-2864156.9822
SB10-01,473153.0822,7029458.8153,330.1376,-26.856239273,116.729750588,330.1376,-2561240.8691,5085880.0280,-2864162.7882
SB10-02,473153.6927,7029456.9274,330.1376,-26.856256330,116.729756693,330.1376,-2561241.0270,5085878.9925,-2864164.4744
SB10-03,473156.6854,7029455.7402,330.1376,-26.856267106,116.729786792,330.1376,-2561243.4561,5085877.1652,-2864165.5397
SB10-04,473155.7656,7029458.2297,330.1376,-26.856244611,116.729777587,330.1376,-2561243.1455,5085878.5824,-2864163.3159
SB10-05,473159.0320,7029459.7207,330.1376,-26.856231213,116.729810499,330.1376,-2561246.3687,5085877.7102,-2864161.9914
SB10-06,473155.0933,7029459.9510,330.1376,-26.856229057,116.729770855,330.1376,-2561242.8982,5085879.5787,-2864161.7783
SB10-07,473157.4492,7029461.1000,330.1376,-26.856218729,116.729794596,330.1376,-2561245.2381,5085878.9792,-2864160.7573
SB10-08,473155.1039,7029461.7599,330.1376,-26.856212726,116.729771001,330.1376,-2561243.2789,5085880.3023,-2864160.1639
SB10-09,473153.6373,7029464.2713,330.1376,-26.856190023,116.729756292,330.1376,-2561242.4843,5085881.9749,-2864157.9196
SB10-10,473153.0219,7029460.7058,330.1376,-26.856222203,116.729750021,330.1376,-2561241.2032,5085880.8165,-2864161.1008
SB10-11,473151.2706,7029460.5870,330.1376,-26.856223242,116.729732389,330.1376,-2561239.6147,5085881.5582,-2864161.2035
SB11-01,473155.8287,7029465.3762,330.1376,-26.856180089,116.729778375,330.1376,-2561244.6682,5085881.4318,-2864156.9376
SB11-02,473156.3907,7029463.6535,330.1376,-26.856195654,116.729783995,330.1376,-2561244.8167,5085880.4847,-2864158.4763
SB11-03,473158.1660,7029465.7852,330.1376,-26.856176442,116.729801911,330.1376,-2561246.8395,5085880.5428,-2864156.5770
SB11-04,473160.1079,7029464.1557,330.1376,-26.856191191,116.729821424,330.1376,-2561248.2395,5085879.0111,-2864158.0350
SB11-05,473160.3923,7029465.9697,330.1376,-26.856174819,116.729824326,330.1376,-2561248.8658,5085879.6133,-2864156.4165
SB11-06,473159.5556,7029468.5539,330.1376,-26.856151471,116.729815959,330.1376,-2561248.6487,5085881.0312,-2864154.1085
SB11-07,473160.6933,7029470.2364,330.1376,-26.856136302,116.729827447,330.1376,-2561250.0100,5085881.1959,-2864152.6089
SB11-08,473156.6905,7029466.9285,330.1376,-26.856166091,116.729787083,330.1376,-2561245.7564,5085881.6684,-2864155.5538
SB11-09,473154.9884,7029468.1988,330.1376,-26.856154589,116.729769977,330.1376,-2561244.4969,5085882.9473,-2864154.4167
SB11-10,473153.7569,7029466.8561,330.1376,-26.856166688,116.729757551,330.1376,-2561243.1215,5085882.9618,-2864155.6128
SB12-01,473153.8449,7029472.9901,330.1376,-26.856111308,116.729758568,330.1376,-2561244.4587,5085885.3923,-2864150.1381
SB12-02,473154.7366,7029470.7487,330.1376,-26.856131562,116.729767496,330.1376,-2561244.7952,5085884.0877,-2864152.1404
SB12-03,473156.1924,7029469.6167,330.1376,-26.856141811,116.729782126,330.1376,-2561245.8631,5085882.9755,-2864153.1535
SB12-04,473156.0450,7029472.0668,330.1376,-26.856119687,116.729780696,330.1376,-2561246.2342,5085884.0286,-2864150.9664
